year,city,country,avg_temp
1758,Miami,United States,23.05
1759,Miami,United States,22.56
1760,Miami,United States,15.14
1761,Miami,United States,
1762,Miami,United States,
1763,Miami,United States,
1764,Miami,United States,
1765,Miami,United States,
1766,Miami,United States,
1767,Miami,United States,
1768,Miami,United States,21.77
1769,Miami,United States,22.57
1770,Miami,United States,22.64
1771,Miami,United States,23.28
1772,Miami,United States,
1773,Miami,United States,23.52
1774,Miami,United States,
1775,Miami,United States,24.52
1776,Miami,United States,24.26
1777,Miami,United States,24.16
1778,Miami,United States,
1779,Miami,United States,
1780,Miami,United States,
1781,Miami,United States,23.39
1782,Miami,United States,23.45
1783,Miami,United States,22.44
1784,Miami,United States,22.57
1785,Miami,United States,22.24
1786,Miami,United States,22.81
1787,Miami,United States,22.86
1788,Miami,United States,23.21
1789,Miami,United States,23.01
1790,Miami,United States,22.88
1791,Miami,United States,23.17
1792,Miami,United States,22.73
1793,Miami,United States,23.04
1794,Miami,United States,23.21
1795,Miami,United States,20.52
1796,Miami,United States,22.89
1797,Miami,United States,22.91
1798,Miami,United States,23.47
1799,Miami,United States,23.25
1800,Miami,United States,23.06
1801,Miami,United States,23.38
1802,Miami,United States,23.53
1803,Miami,United States,23.36
1804,Miami,United States,23.45
1805,Miami,United States,23.41
1806,Miami,United States,23.13
1807,Miami,United States,22.91
1808,Miami,United States,22.66
1809,Miami,United States,21.81
1810,Miami,United States,21.85
1811,Miami,United States,22.04
1812,Miami,United States,21.53
1813,Miami,United States,22.5
1814,Miami,United States,22.24
1815,Miami,United States,21.96
1816,Miami,United States,21.54
1817,Miami,United States,21.66
1818,Miami,United States,22.4
1819,Miami,United States,22.1
1820,Miami,United States,22.25
1821,Miami,United States,22.42
1822,Miami,United States,23.08
1823,Miami,United States,22.44
1824,Miami,United States,23.4
1825,Miami,United States,23.26
1826,Miami,United States,23.45
1827,Miami,United States,23.97
1828,Miami,United States,24.18
1829,Miami,United States,22.81
1830,Miami,United States,23.81
1831,Miami,United States,22.66
1832,Miami,United States,22.93
1833,Miami,United States,23.08
1834,Miami,United States,23.6
1835,Miami,United States,22.67
1836,Miami,United States,22.55
1837,Miami,United States,22.85
1838,Miami,United States,22.46
1839,Miami,United States,22.9
1840,Miami,United States,22.89
1841,Miami,United States,22.4
1842,Miami,United States,22.91
1843,Miami,United States,22.28
1844,Miami,United States,22.27
