country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.167,0.161,0.161,0.169,0.167,0.174,0.181,0.193,0.199,,,0.243,0.484,,0.471,0.477,0.532,,0.501,,,0.537,,0.361,0.43,0.472,,,,,,0,,0.544,0.406,0.549,0.575,0.57,0.59,0.614,0.63,0.668,0.674,0.66,0.659,0.652,,0.645
Albania,,,,,,,0.931,,0.932,0.937,0.926,0.922,0.933,0.959,0.95,0.939,0.939,0.941,0.954,0.952,0.943,0.944,1.01,1.03,0.995,0.971,0.975,0.958,,0.956,0.963,0.974,,,0.966,0.964,0.971,0.982,0.984,1,0.987,0.979,0.97,0.957,0.946,0.943,0.945,
Algeria,,0.599,0.624,0.64,0.648,0.658,0.667,0.681,0.691,0.708,0.72,0.729,0.738,,0.757,0.767,0.783,0.79,0.797,0.809,0.817,0.829,0.843,0.854,0.87,0.884,0.895,0.918,,0.949,0.964,0.974,0.98,0.99,0.995,0.999,1,1,0.986,0.978,0.993,0.994,,,,,,
Andorra,,,,,,1.15,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,0.556,0.575,,,,,,,,,,0.811,0.777,,,,,,,,,,,,,,,0.804,,,,,,,,,,0.819,0.81,0.765,0.621,,,,,,
Antigua and Barbuda,,,,,1.15,1.02,,1.04,0.842,,,,,,,,,,,,,,0.947,,,,,,,,,,,,,,,0.97,0.952,0.976,0.957,0.952,1.03,,0.962,0.977,,
Argentina,1.03,1.03,1.02,1.03,1.03,1.03,1.03,1.03,1.04,1.02,1.02,1.02,1.01,,1.02,1.03,1.01,1.02,1.06,,,,,,,,1.03,1.03,1.02,1.03,1.02,1.03,1.02,1.03,1.03,1.04,1.04,1.05,1.05,1.05,1.04,1.04,1.03,1.03,1.03,1.03,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,,,,,1.01,0.996,0.99,,,,,,1.04,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,1,0.997,0.996,0.998,1.02,,,,,,,,,,,,,,,,,,0.925,0.925,
Austria,,0.936,,,,,0.925,,,,,0.925,0.935,0.93,0.93,0.946,0.932,0.926,0.932,0.944,0.941,0.947,0.947,0.951,0.955,0.956,0.961,0.966,0.961,0.967,0.97,0.97,0.964,0.963,0.963,0.966,0.97,0.969,0.966,0.965,0.969,0.97,0.972,0.973,0.973,0.973,0.972,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,0.997,0.984,0.961,0.939,1.06,1.06,1.03,,,,,,,,,,,,,,,,,,,,
Bahamas,,,,,,,,,,,,,1.09,1.08,,1.08,1.07,,,,,,1.01,1.02,,1,,1.11,,0.975,,,1.02,,0.988,0.99,0.996,1.01,1.01,1.02,1.04,,,,,,1.06,
Bahrain,,0.73,0.771,0.789,0.806,0.816,0.828,0.838,0.844,0.842,0.849,0.853,0.862,0.909,0.938,0.967,0.989,0.995,0.999,1.01,1.03,1.02,1.04,1.04,1.04,1.02,1.02,1.03,1.02,1.02,1.03,1.05,1.07,1.07,1.07,1.07,1.07,,,,,0.999,1.01,1.02,1.01,1,1.01,
Bangladesh,,,,0.494,,,0.49,0.519,,0.514,0.529,0.569,,,0.616,0.608,0.629,0.625,0.718,0.727,0.754,,,,,,,,,,,,,,,1.05,1.06,1.07,1.09,1.06,1.09,1.09,,1.06,,1.1,1.08,
Barbados,,0.992,1,1.01,0.906,0.967,1.05,1.05,1.03,1.03,1.07,1,1.02,0.985,1.02,0.99,,,,1.03,0.951,,,,,,,,,1.02,1.01,0.996,0.995,0.994,0.992,0.993,1,1.01,1.01,1.01,1.01,1.02,,,1.02,1.02,1.03,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,0.977,0.976,0.977,0.977,0.977,0.985,0.99,0.992,0.991,
